report_element,files,regenerable,missing
Phase 1 invariant detection,results/phase1_invariants_on_s05.csv;results/phase1_summary.csv,True,
Phase 2 close-grid check,results/phase2_close_grid_check.csv,True,
Phase 2 high==low,results/phase2_high_eq_low.csv,True,
Phase 2 M6 old vs new,results/phase2_m6_old_vs_new.csv;cache/m6_ES_GLOBEX.npz,True,
Phase 2 E3 gate,results/phase2_e3_gate.csv,True,
Phase 2 OHLC panels + present mask,cache/panel_ohlc_ES_GLOBEX.npz,True,
Phase 3 calendar,results/phase3_calendar.csv;results/phase3_exclusion_counts.csv;results/phase3_crosscheck.csv;results/phase3_residual_uncovered.csv;cache/tradeable_ES_GLOBEX.npz,True,
Phase 4 RGARCH params,results/phase4_rgarch_params.csv;results/phase4_rgarch_diagnosis.csv;results/phase4_model_sets.csv,True,
Phase 5 filter,results/phase5_filter.csv,True,
Phase 6 lambda surface,results/phase6_lambda.csv;results/phase6_fits.csv;results/phase6_effM_corr.csv;results/phase6_lambda_violations.csv,True,
Phase 7 forecasts + loss matrices,cache/gen_ES_GLOBEX_B0_1day.npz;cache/loss_ES_GLOBEX_B0_1day.npz,True,
Phase 7 MCS + metrics,results/phase7_mcs.csv;results/phase7_metrics.csv;results/phase7_composition_vs_s05.csv,True,
Phase 8 primary result,results/phase8_primary.csv;results/phase8_effective_samples.csv;results/phase8_primary_cell.json;results/phase8_s05a_indeterminate.csv,True,
